,type,strikes,maturities,implied_volatilities,Spot,utc_T0
289,call,42000.0,1651824000.0,0.5183,40476.62,2022-04-16 05:43:09.976983
290,call,44000.0,1651824000.0,0.5128,40476.62,2022-04-16 05:43:09.976983
291,call,46000.0,1651824000.0,0.516,40476.62,2022-04-16 05:43:09.976983
292,call,32000.0,1651824000.0,0.6647,40476.62,2022-04-16 05:43:09.976983
293,call,30000.0,1651824000.0,0.7045999999999999,40476.62,2022-04-16 05:43:09.976983
294,call,40000.0,1651824000.0,0.5327000000000001,40476.62,2022-04-16 05:43:09.976983
295,call,60000.0,1651824000.0,0.6787000000000001,40476.62,2022-04-16 05:43:09.976983
296,call,34000.0,1651824000.0,0.6206,40476.62,2022-04-16 05:43:09.976983
297,call,48000.0,1651824000.0,0.5288,40476.62,2022-04-16 05:43:09.976983
298,call,36000.0,1651824000.0,0.5853,40476.62,2022-04-16 05:43:09.976983
299,call,50000.0,1651824000.0,0.5468999999999999,40476.62,2022-04-16 05:43:09.976983
300,call,38000.0,1651824000.0,0.5557,40476.62,2022-04-16 05:43:09.976983
301,call,65000.0,1651824000.0,0.7402,40476.62,2022-04-16 05:43:09.976983
302,call,55000.0,1651824000.0,0.6052000000000001,40476.62,2022-04-16 05:43:09.976983
303,call,36000.0,1653638400.0,0.6141,40476.62,2022-04-16 05:43:09.976983
304,call,70000.0,1653638400.0,0.7151000000000001,40476.62,2022-04-16 05:43:09.976983
305,call,100000.0,1653638400.0,0.8209000000000001,40476.62,2022-04-16 05:43:09.976983
306,call,54000.0,1653638400.0,0.5895,40476.62,2022-04-16 05:43:09.976983
307,call,55000.0,1653638400.0,0.5964,40476.62,2022-04-16 05:43:09.976983
308,call,30000.0,1653638400.0,0.6999,40476.62,2022-04-16 05:43:09.976983
309,call,46000.0,1653638400.0,0.5608,40476.62,2022-04-16 05:43:09.976983
310,call,85000.0,1653638400.0,0.8151,40476.62,2022-04-16 05:43:09.976983
311,call,32000.0,1653638400.0,0.6645,40476.62,2022-04-16 05:43:09.976983
312,call,48000.0,1653638400.0,0.563,40476.62,2022-04-16 05:43:09.976983
313,call,25000.0,1653638400.0,0.8233,40476.62,2022-04-16 05:43:09.976983
314,call,42000.0,1653638400.0,0.5677,40476.62,2022-04-16 05:43:09.976983
315,call,20000.0,1653638400.0,1.0241,40476.62,2022-04-16 05:43:09.976983
316,call,75000.0,1653638400.0,0.7395999999999999,40476.62,2022-04-16 05:43:09.976983
317,call,52000.0,1653638400.0,0.5796,40476.62,2022-04-16 05:43:09.976983
318,call,65000.0,1653638400.0,0.6470999999999999,40476.62,2022-04-16 05:43:09.976983
319,call,60000.0,1653638400.0,0.6224000000000001,40476.62,2022-04-16 05:43:09.976983
320,call,38000.0,1653638400.0,0.5932,40476.62,2022-04-16 05:43:09.976983
321,call,44000.0,1653638400.0,0.5623,40476.62,2022-04-16 05:43:09.976983
322,call,40000.0,1653638400.0,0.5785,40476.62,2022-04-16 05:43:09.976983
