,type,strikes,maturities,implied_volatilities,Spot,posixT0
199,put,120000.0,1680249600.0,0.6940000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
200,put,40000.0,1680249600.0,0.6717,42697.35,2022-04-10 05:35:49.727022+00:00
201,put,30000.0,1680249600.0,0.6893,42697.35,2022-04-10 05:35:49.727022+00:00
202,put,300000.0,1680249600.0,0.7561,42697.35,2022-04-10 05:35:49.727022+00:00
203,put,70000.0,1680249600.0,0.6779000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
204,put,80000.0,1680249600.0,0.6711,42697.35,2022-04-10 05:35:49.727022+00:00
205,put,200000.0,1680249600.0,0.7441,42697.35,2022-04-10 05:35:49.727022+00:00
206,put,20000.0,1680249600.0,0.7345999999999999,42697.35,2022-04-10 05:35:49.727022+00:00
207,put,60000.0,1680249600.0,0.6642,42697.35,2022-04-10 05:35:49.727022+00:00
208,put,50000.0,1680249600.0,0.662,42697.35,2022-04-10 05:35:49.727022+00:00
209,put,100000.0,1680249600.0,0.6947,42697.35,2022-04-10 05:35:49.727022+00:00
210,put,140000.0,1680249600.0,0.701,42697.35,2022-04-10 05:35:49.727022+00:00
211,call,34000.0,1649577600.0,0.7778,42697.35,2022-04-10 05:35:49.727022+00:00
212,call,41000.0,1649577600.0,0.5326,42697.35,2022-04-10 05:35:49.727022+00:00
213,call,45000.0,1649577600.0,0.5324,42697.35,2022-04-10 05:35:49.727022+00:00
214,call,48000.0,1649577600.0,0.5771999999999999,42697.35,2022-04-10 05:35:49.727022+00:00
215,call,40000.0,1649577600.0,0.662,42697.35,2022-04-10 05:35:49.727022+00:00
216,call,38000.0,1649577600.0,0.7778,42697.35,2022-04-10 05:35:49.727022+00:00
217,call,39000.0,1649577600.0,0.7724,42697.35,2022-04-10 05:35:49.727022+00:00
218,call,42000.0,1649577600.0,0.4844,42697.35,2022-04-10 05:35:49.727022+00:00
219,call,50000.0,1649577600.0,0.65,42697.35,2022-04-10 05:35:49.727022+00:00
220,call,47000.0,1649577600.0,0.5404,42697.35,2022-04-10 05:35:49.727022+00:00
221,call,36000.0,1649577600.0,0.7778,42697.35,2022-04-10 05:35:49.727022+00:00
222,call,46000.0,1649577600.0,0.5403,42697.35,2022-04-10 05:35:49.727022+00:00
223,call,43000.0,1649577600.0,0.3505,42697.35,2022-04-10 05:35:49.727022+00:00
224,call,44000.0,1649577600.0,0.4054,42697.35,2022-04-10 05:35:49.727022+00:00
225,call,46000.0,1649664000.0,0.5585,42697.35,2022-04-10 05:35:49.727022+00:00
226,call,40000.0,1649664000.0,0.5603,42697.35,2022-04-10 05:35:49.727022+00:00
227,call,37000.0,1649664000.0,0.6674,42697.35,2022-04-10 05:35:49.727022+00:00
228,call,47000.0,1649664000.0,0.65,42697.35,2022-04-10 05:35:49.727022+00:00
229,call,43000.0,1649664000.0,0.4,42697.35,2022-04-10 05:35:49.727022+00:00
230,call,34000.0,1649664000.0,0.6674,42697.35,2022-04-10 05:35:49.727022+00:00
231,call,36000.0,1649664000.0,0.6674,42697.35,2022-04-10 05:35:49.727022+00:00
232,call,48000.0,1649664000.0,0.65,42697.35,2022-04-10 05:35:49.727022+00:00
233,call,44000.0,1649664000.0,0.4416,42697.35,2022-04-10 05:35:49.727022+00:00
234,call,42000.0,1649664000.0,0.43560000000000004,42697.35,2022-04-10 05:35:49.727022+00:00
235,call,45000.0,1649664000.0,0.44420000000000004,42697.35,2022-04-10 05:35:49.727022+00:00
236,call,41000.0,1649664000.0,0.5188,42697.35,2022-04-10 05:35:49.727022+00:00
237,call,38000.0,1649664000.0,0.6674,42697.35,2022-04-10 05:35:49.727022+00:00
238,call,39000.0,1649664000.0,0.6054999999999999,42697.35,2022-04-10 05:35:49.727022+00:00
